Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
female,group A,bachelor's degree,standard,completed,married,regularly,yes,1,private,< 5,56,66,65
male,group A,high school,free/reduced,none,married,sometimes,yes,1,school_bus,05-Oct,45,46,42
female,group D,bachelor's degree,standard,completed,married,sometimes,no,1,school_bus,05-Oct,71,81,86
female,group E,bachelor's degree,standard,none,single,sometimes,no,3,school_bus,> 10,78,76,74
male,group B,some high school,free/reduced,none,single,regularly,no,1,private,< 5,74,72,70
male,group C,associate's degree,standard,none,single,regularly,yes,3,school_bus,05-Oct,56,60,59
female,group A,high school,standard,none,divorced,sometimes,yes,1,school_bus,> 10,89,94,90
female,group D,high school,standard,none,married,regularly,no,1,school_bus,05-Oct,81,83,80
male,group B,some college,standard,none,single,regularly,yes,1,private,05-Oct,60,48,51
male,group E,high school,free/reduced,none,married,never,no,3,school_bus,> 10,84,74,68
female,group B,bachelor's degree,standard,completed,divorced,sometimes,no,1,private,05-Oct,56,67,66
male,group B,some high school,standard,completed,single,never,yes,3,private,> 10,85,88,90
female,group D,high school,standard,none,married,never,yes,0,school_bus,05-Oct,70,71,62
male,group C,some college,standard,none,married,regularly,no,3,school_bus,> 10,47,40,46
female,group C,associate's degree,free/reduced,none,married,sometimes,yes,5,private,> 10,45,48,44
male,group B,high school,standard,none,married,sometimes,yes,1,school_bus,< 5,76,76,62
male,group C,some high school,standard,none,married,sometimes,yes,2,private,05-Oct,64,70,71
female,group E,high school,free/reduced,none,married,sometimes,yes,3,school_bus,05-Oct,49,61,57
male,group C,some high school,standard,none,married,sometimes,yes,1,private,> 10,66,62,60
female,group C,high school,standard,none,single,regularly,yes,3,private,05-Oct,61,64,60
female,group C,some college,standard,none,married,regularly,yes,3,school_bus,05-Oct,63,54,58
male,group D,high school,standard,none,single,sometimes,yes,2,school_bus,> 10,82,73,72
male,group E,some college,standard,none,divorced,sometimes,yes,0,school_bus,05-Oct,83,73,66
female,group C,some high school,standard,none,married,regularly,no,1,school_bus,< 5,45,42,46
male,group E,associate's degree,free/reduced,completed,married,sometimes,yes,2,private,05-Oct,70,70,67
female,group B,some high school,free/reduced,completed,married,sometimes,yes,0,private,< 5,63,83,82
female,group B,associate's degree,standard,none,single,sometimes,no,2,school_bus,< 5,74,92,87
female,group C,master's degree,free/reduced,completed,single,never,yes,2,private,05-Oct,85,91,96
male,group B,high school,free/reduced,none,single,regularly,no,1,school_bus,05-Oct,57,61,54
male,group D,some high school,free/reduced,none,divorced,regularly,yes,2,private,< 5,54,59,51
male,group C,some college,standard,none,married,never,yes,2,school_bus,< 5,71,64,64
female,group C,associate's degree,standard,none,divorced,sometimes,yes,1,private,< 5,58,70,72
male,group C,bachelor's degree,standard,completed,married,sometimes,yes,2,school_bus,05-Oct,59,58,60
male,group C,some college,standard,none,single,never,yes,2,school_bus,< 5,61,56,57
female,group C,some college,standard,none,married,regularly,no,1,school_bus,05-Oct,76,73,83
female,group B,some high school,standard,completed,divorced,sometimes,yes,1,school_bus,05-Oct,59,77,75
female,group B,associate's degree,standard,completed,divorced,sometimes,no,2,school_bus,05-Oct,56,65,64
male,group C,bachelor's degree,standard,completed,single,sometimes,yes,4,school_bus,< 5,75,73,68
female,group B,master's degree,free/reduced,none,divorced,regularly,no,4,private,> 10,77,79,78
male,group E,bachelor's degree,standard,none,married,sometimes,no,6,school_bus,> 10,81,68,65
female,group D,bachelor's degree,free/reduced,none,married,never,yes,1,private,05-Oct,71,86,88
female,group C,high school,standard,none,divorced,never,yes,0,school_bus,05-Oct,58,73,69
male,group B,high school,standard,none,single,sometimes,yes,1,private,05-Oct,36,37,34
male,group A,bachelor's degree,standard,none,married,never,yes,4,private,< 5,55,57,53
male,group E,some college,standard,none,married,sometimes,yes,3,school_bus,> 10,94,78,77
male,group D,some college,standard,none,married,regularly,yes,1,school_bus,05-Oct,74,83,73
male,group C,some college,standard,none,married,regularly,no,1,school_bus,05-Oct,59,50,54
female,group D,associate's degree,free/reduced,none,married,regularly,yes,2,school_bus,> 10,68,81,88
male,group E,high school,standard,completed,married,never,no,1,school_bus,05-Oct,60,52,55
male,group C,some high school,standard,none,single,sometimes,yes,4,school_bus,< 5,66,58,57
male,group C,bachelor's degree,standard,completed,divorced,sometimes,yes,1,school_bus,< 5,77,75,75
female,group C,high school,standard,completed,divorced,sometimes,yes,3,private,05-Oct,47,52,52
male,group C,associate's degree,standard,none,married,sometimes,yes,1,school_bus,05-Oct,81,68,63
male,group C,high school,free/reduced,none,married,never,yes,0,private,> 10,53,53,49
female,group C,associate's degree,standard,none,divorced,sometimes,yes,1,private,< 5,54,70,67
female,group E,bachelor's degree,free/reduced,none,single,regularly,yes,2,school_bus,> 10,54,58,57
male,group B,some college,standard,none,divorced,sometimes,yes,3,school_bus,05-Oct,80,75,72
male,group B,some college,free/reduced,none,married,sometimes,yes,1,school_bus,05-Oct,58,56,54
male,group A,some college,standard,none,married,regularly,no,2,school_bus,05-Oct,73,57,55
female,group D,bachelor's degree,free/reduced,none,divorced,never,yes,1,private,< 5,55,70,77
male,group C,associate's degree,standard,none,married,regularly,no,1,private,< 5,72,68,64
male,group D,associate's degree,standard,none,married,regularly,no,2,private,05-Oct,100,86,88
male,group C,some high school,standard,completed,divorced,sometimes,yes,4,school_bus,< 5,66,56,52
female,group E,some college,free/reduced,none,single,sometimes,no,4,school_bus,< 5,69,64,66
male,group D,associate's degree,free/reduced,none,married,never,no,3,school_bus,< 5,26,36,39
male,group D,associate's degree,standard,none,married,sometimes,yes,3,school_bus,05-Oct,66,57,59
female,group C,bachelor's degree,free/reduced,none,married,sometimes,no,3,school_bus,05-Oct,68,73,74
male,group C,high school,free/reduced,none,married,sometimes,yes,2,school_bus,05-Oct,69,75,64
female,group C,bachelor's degree,free/reduced,none,divorced,never,yes,0,school_bus,05-Oct,56,59,60
female,group C,associate's degree,standard,none,married,never,no,1,private,05-Oct,58,70,64
female,group B,bachelor's degree,standard,none,married,sometimes,no,3,school_bus,05-Oct,73,74,82
male,group A,high school,free/reduced,none,divorced,sometimes,yes,3,school_bus,05-Oct,61,60,46
female,group E,some college,free/reduced,none,divorced,regularly,no,3,school_bus,> 10,63,58,60
female,group D,some college,standard,completed,married,regularly,yes,7,private,05-Oct,83,90,94
female,group C,master's degree,standard,none,married,sometimes,no,1,school_bus,< 5,78,91,93
male,group B,high school,standard,none,married,regularly,yes,2,private,05-Oct,75,74,67
male,group B,some high school,standard,none,married,regularly,no,1,school_bus,05-Oct,63,55,54
female,group C,some high school,standard,none,single,sometimes,yes,1,private,> 10,72,73,76
female,group D,some college,free/reduced,completed,divorced,never,yes,1,school_bus,> 10,67,74,78
male,group E,associate's degree,standard,none,divorced,sometimes,yes,5,school_bus,< 5,90,70,74
female,group C,associate's degree,standard,none,single,sometimes,yes,3,private,05-Oct,52,59,61
female,group A,some college,standard,none,single,sometimes,yes,2,school_bus,< 5,77,85,72
female,group B,master's degree,free/reduced,none,married,regularly,yes,1,school_bus,05-Oct,50,59,59
female,group B,some high school,standard,none,single,sometimes,yes,1,school_bus,> 10,62,55,62
male,group B,some high school,free/reduced,completed,married,regularly,no,1,school_bus,05-Oct,73,70,72
female,group C,bachelor's degree,free/reduced,none,married,sometimes,yes,0,school_bus,> 10,81,83,87
female,group C,associate's degree,standard,none,single,regularly,yes,1,school_bus,05-Oct,41,55,55
male,group D,master's degree,standard,completed,married,regularly,yes,0,school_bus,05-Oct,70,71,78
female,group C,associate's degree,standard,completed,married,never,yes,3,private,05-Oct,65,77,77
male,group D,high school,free/reduced,completed,single,never,yes,1,private,< 5,54,58,58
female,group C,some high school,standard,completed,married,regularly,no,3,school_bus,05-Oct,76,75,77
female,group B,associate's degree,free/reduced,completed,married,sometimes,no,2,private,05-Oct,56,72,74
female,group C,some college,standard,completed,married,sometimes,yes,1,school_bus,< 5,50,62,65
female,group D,high school,free/reduced,completed,married,sometimes,yes,2,school_bus,05-Oct,58,74,73
male,group C,associate's degree,standard,none,married,sometimes,yes,1,school_bus,05-Oct,68,73,61
female,group A,associate's degree,standard,completed,married,sometimes,yes,2,school_bus,05-Oct,46,61,68
female,group D,some high school,free/reduced,completed,single,sometimes,yes,1,school_bus,05-Oct,48,66,67
female,group D,high school,standard,completed,single,never,yes,1,school_bus,05-Oct,68,76,74
male,group E,some high school,standard,completed,married,sometimes,no,2,school_bus,> 10,64,58,57
female,group C,bachelor's degree,free/reduced,completed,married,sometimes,no,3,private,05-Oct,69,91,92
female,group C,high school,free/reduced,none,married,regularly,yes,3,school_bus,05-Oct,53,70,64
male,group C,associate's degree,free/reduced,none,single,sometimes,yes,1,school_bus,05-Oct,28,35,32
male,group C,high school,free/reduced,completed,married,sometimes,no,2,school_bus,< 5,75,78,75
female,group B,associate's degree,free/reduced,none,married,regularly,yes,0,school_bus,> 10,56,73,74
male,group C,some college,standard,none,widowed,regularly,no,1,school_bus,< 5,71,65,57
male,group B,bachelor's degree,standard,none,married,regularly,yes,3,private,< 5,51,57,50
male,group D,associate's degree,standard,none,married,sometimes,no,1,school_bus,< 5,62,61,52
female,group C,some college,standard,completed,married,sometimes,yes,0,private,< 5,40,51,52
female,group D,some college,standard,none,married,regularly,no,4,private,05-Oct,89,98,92
male,group C,associate's degree,standard,completed,married,never,yes,3,school_bus,05-Oct,90,90,91
male,group D,associate's degree,free/reduced,completed,divorced,regularly,no,2,school_bus,< 5,71,72,80
male,group C,some college,standard,none,married,sometimes,yes,1,school_bus,< 5,64,61,54
female,group E,some college,standard,completed,divorced,never,no,3,school_bus,< 5,72,66,75
male,group B,associate's degree,standard,none,widowed,never,no,4,school_bus,05-Oct,61,60,50
male,group B,some college,standard,none,married,sometimes,yes,3,private,05-Oct,50,58,53
male,group C,associate's degree,standard,none,married,sometimes,no,2,school_bus,05-Oct,86,80,73
female,group B,high school,standard,none,married,regularly,yes,5,school_bus,05-Oct,67,73,76
male,group C,high school,standard,none,married,sometimes,yes,2,private,> 10,64,58,54
female,group B,bachelor's degree,free/reduced,none,single,never,yes,3,private,< 5,63,81,81
female,group B,high school,standard,none,married,never,no,1,school_bus,05-Oct,52,65,52
male,group D,associate's degree,standard,none,married,regularly,no,2,school_bus,< 5,92,84,85
female,group E,some high school,free/reduced,none,married,regularly,yes,1,school_bus,< 5,63,69,64
male,group D,some high school,standard,none,married,sometimes,yes,1,private,05-Oct,61,61,54
female,group D,high school,free/reduced,none,married,sometimes,yes,0,private,05-Oct,60,69,65
male,group C,some college,standard,none,married,regularly,yes,2,private,05-Oct,69,60,64
male,group A,some high school,standard,none,married,sometimes,yes,2,school_bus,> 10,76,63,59
male,group D,high school,free/reduced,completed,married,sometimes,yes,1,school_bus,< 5,66,67,75
male,group D,high school,standard,none,married,regularly,yes,5,private,05-Oct,89,81,82
male,group C,some high school,standard,none,married,regularly,no,2,private,< 5,70,71,67
female,group C,some high school,standard,none,single,regularly,yes,7,private,< 5,71,77,79
male,group D,some high school,standard,none,married,sometimes,yes,2,private,05-Oct,84,68,67
male,group B,associate's degree,free/reduced,none,single,sometimes,yes,0,school_bus,05-Oct,74,69,64
female,group E,some college,free/reduced,none,single,sometimes,yes,3,private,> 10,70,81,78
female,group C,associate's degree,standard,completed,married,sometimes,no,1,private,< 5,71,83,92
female,group D,some high school,free/reduced,none,married,sometimes,yes,1,private,> 10,55,59,56
male,group D,associate's degree,standard,none,married,sometimes,no,1,school_bus,05-Oct,82,75,68
female,group C,high school,standard,none,married,sometimes,yes,1,school_bus,05-Oct,81,88,85
female,group C,associate's degree,standard,none,divorced,sometimes,yes,2,school_bus,05-Oct,94,93,95
male,group C,associate's degree,free/reduced,completed,married,sometimes,yes,5,private,< 5,63,58,63
female,group E,high school,standard,none,single,regularly,yes,1,school_bus,05-Oct,58,66,60
male,group D,some college,free/reduced,none,single,sometimes,yes,1,school_bus,05-Oct,63,61,59
female,group E,high school,standard,none,married,never,no,2,school_bus,05-Oct,58,63,61
male,group A,master's degree,standard,completed,widowed,sometimes,no,2,school_bus,05-Oct,70,70,69
female,group C,high school,standard,none,married,regularly,yes,3,school_bus,< 5,51,65,57
female,group B,high school,standard,none,divorced,never,yes,2,school_bus,< 5,39,65,57
male,group B,bachelor's degree,standard,none,married,sometimes,yes,2,school_bus,05-Oct,62,66,64
male,group B,associate's degree,free/reduced,completed,married,regularly,yes,4,school_bus,> 10,46,41,46
female,group B,high school,standard,completed,married,regularly,yes,1,school_bus,05-Oct,42,64,62
male,group A,some college,standard,completed,married,sometimes,yes,0,school_bus,05-Oct,75,73,78
female,group C,some high school,standard,none,married,regularly,yes,4,private,05-Oct,65,63,67
male,group A,master's degree,free/reduced,none,married,never,yes,1,private,> 10,64,61,65
female,group A,some high school,free/reduced,none,divorced,regularly,yes,2,school_bus,05-Oct,39,53,50
female,group C,some college,standard,none,divorced,sometimes,no,4,private,05-Oct,70,77,82
female,group E,associate's degree,standard,none,divorced,sometimes,yes,0,private,05-Oct,83,90,90
female,group C,bachelor's degree,standard,none,married,sometimes,yes,2,private,> 10,77,78,73
male,group A,high school,free/reduced,completed,married,regularly,yes,0,private,05-Oct,47,42,47
female,group C,some college,standard,none,single,never,yes,2,private,05-Oct,69,72,73
female,group A,some college,standard,none,married,regularly,yes,3,private,< 5,64,74,65
female,group C,bachelor's degree,free/reduced,completed,married,never,no,3,school_bus,05-Oct,57,61,68
male,group E,bachelor's degree,free/reduced,none,married,never,no,2,school_bus,05-Oct,88,80,81
female,group C,some college,free/reduced,completed,married,sometimes,yes,2,private,05-Oct,51,61,60
female,group E,some college,free/reduced,none,married,sometimes,no,3,school_bus,05-Oct,58,63,59
male,group B,high school,standard,none,single,sometimes,yes,1,school_bus,< 5,74,65,61
female,group D,some high school,standard,none,married,sometimes,yes,2,private,05-Oct,83,96,88
female,group D,some high school,standard,none,single,regularly,no,1,private,05-Oct,72,69,75
female,group D,high school,standard,none,married,sometimes,yes,1,school_bus,05-Oct,85,87,89
female,group C,some college,standard,none,divorced,sometimes,yes,2,school_bus,< 5,62,68,68
female,group D,some high school,free/reduced,none,single,sometimes,yes,1,private,05-Oct,43,58,58
female,group B,some high school,standard,completed,married,regularly,yes,3,school_bus,05-Oct,82,93,93
male,group D,high school,free/reduced,none,divorced,sometimes,no,4,school_bus,< 5,40,41,32
male,group E,master's degree,standard,none,married,sometimes,no,3,school_bus,05-Oct,75,64,62
male,group D,master's degree,standard,none,single,sometimes,no,1,school_bus,05-Oct,99,92,98
male,group D,some high school,standard,none,married,sometimes,no,1,school_bus,< 5,79,83,76
male,group B,some high school,free/reduced,completed,married,never,no,1,private,< 5,47,62,58
female,group A,master's degree,free/reduced,none,single,regularly,yes,2,school_bus,05-Oct,58,74,67
female,group B,some college,free/reduced,none,married,regularly,yes,2,school_bus,< 5,76,90,80
male,group D,high school,standard,none,married,regularly,no,3,private,05-Oct,98,82,80
female,group C,some college,standard,completed,married,never,yes,5,private,05-Oct,63,67,76
male,group C,associate's degree,free/reduced,none,divorced,sometimes,no,4,school_bus,> 10,62,59,60
male,group E,some college,standard,none,married,never,yes,2,school_bus,05-Oct,76,65,66
female,group D,some high school,free/reduced,none,divorced,never,no,4,school_bus,< 5,15,28,21
female,group D,some college,standard,none,married,regularly,no,2,school_bus,05-Oct,79,91,88
male,group C,some high school,standard,completed,married,regularly,yes,5,private,< 5,68,66,58
female,group B,some high school,free/reduced,none,married,sometimes,yes,1,school_bus,< 5,62,66,68
female,group C,bachelor's degree,free/reduced,completed,married,sometimes,yes,3,private,< 5,64,79,79
female,group C,associate's degree,standard,completed,single,regularly,yes,1,private,05-Oct,76,89,88
male,group C,bachelor's degree,standard,none,divorced,sometimes,yes,3,private,< 5,64,50,55
female,group C,associate's degree,free/reduced,completed,single,sometimes,yes,0,private,> 10,56,64,63
male,group B,some college,free/reduced,none,married,sometimes,yes,1,school_bus,< 5,47,57,50
male,group D,some college,free/reduced,none,married,regularly,no,1,private,< 5,44,55,50
male,group E,associate's degree,free/reduced,none,single,sometimes,no,2,school_bus,> 10,78,71,69
female,group B,high school,free/reduced,completed,divorced,regularly,yes,0,school_bus,< 5,38,55,55
male,group D,associate's degree,free/reduced,completed,married,regularly,yes,2,school_bus,< 5,81,74,76
female,group C,some college,standard,none,married,regularly,yes,0,school_bus,05-Oct,74,81,79
male,group B,some high school,standard,completed,divorced,never,yes,6,private,05-Oct,72,79,78
male,group C,master's degree,standard,completed,married,sometimes,no,2,school_bus,05-Oct,100,92,93
female,group B,some high school,free/reduced,none,married,regularly,yes,1,school_bus,< 5,46,54,56
male,group D,associate's degree,free/reduced,none,married,never,yes,2,school_bus,05-Oct,81,81,77
female,group D,some college,standard,none,married,regularly,yes,1,private,05-Oct,96,92,95
female,group C,high school,standard,none,single,never,yes,3,school_bus,05-Oct,68,75,73
female,group C,master's degree,free/reduced,none,married,sometimes,yes,4,school_bus,> 10,45,56,61
male,group C,master's degree,free/reduced,none,married,regularly,yes,1,private,05-Oct,74,77,70
female,group C,some high school,standard,none,single,never,yes,2,school_bus,05-Oct,61,86,78
female,group C,bachelor's degree,standard,none,single,regularly,yes,5,school_bus,05-Oct,53,59,60
female,group C,bachelor's degree,standard,none,divorced,regularly,no,3,private,05-Oct,66,83,82
female,group C,high school,free/reduced,completed,married,never,yes,2,school_bus,05-Oct,62,66,60
female,group D,some college,standard,none,married,regularly,no,3,school_bus,05-Oct,64,75,73
male,group E,master's degree,standard,none,single,sometimes,no,4,private,05-Oct,86,79,73
female,group B,bachelor's degree,standard,none,divorced,never,yes,2,private,05-Oct,42,47,52
female,group C,some high school,standard,none,married,regularly,yes,0,school_bus,05-Oct,72,75,79
female,group B,some high school,free/reduced,none,married,regularly,yes,2,school_bus,< 5,53,70,65
female,group E,some college,free/reduced,none,single,sometimes,no,3,school_bus,< 5,42,49,48
male,group C,bachelor's degree,free/reduced,none,divorced,sometimes,no,1,school_bus,05-Oct,64,62,60
female,group E,bachelor's degree,free/reduced,completed,married,regularly,yes,5,school_bus,05-Oct,49,77,68
male,group D,associate's degree,standard,none,married,regularly,yes,0,private,05-Oct,100,85,90
female,group B,some college,standard,none,married,sometimes,yes,1,private,< 5,56,59,56
female,group B,some college,standard,completed,divorced,regularly,no,2,private,< 5,62,78,77
female,group D,some high school,standard,none,single,sometimes,yes,4,private,05-Oct,69,69,76
female,group C,some college,standard,none,single,regularly,yes,0,private,05-Oct,48,65,63
male,group D,associate's degree,standard,none,married,never,yes,1,school_bus,05-Oct,87,84,85
female,group D,some high school,standard,none,married,regularly,yes,0,private,05-Oct,61,66,67
male,group D,some high school,free/reduced,none,married,sometimes,yes,2,private,< 5,67,66,58
female,group B,master's degree,standard,completed,single,sometimes,yes,5,private,< 5,57,75,75
female,group A,some high school,standard,none,married,sometimes,yes,1,private,05-Oct,66,75,72
male,group E,associate's degree,standard,completed,married,sometimes,yes,2,school_bus,> 10,98,90,83
male,group C,some college,standard,none,single,sometimes,yes,0,private,05-Oct,61,57,53
female,group A,some college,standard,none,single,regularly,yes,2,private,< 5,44,60,55
female,group E,some college,free/reduced,completed,divorced,never,yes,3,private,< 5,58,70,67
female,group D,some high school,free/reduced,completed,married,regularly,yes,0,private,< 5,69,83,89
male,group E,bachelor's degree,free/reduced,none,divorced,never,yes,0,school_bus,05-Oct,56,53,45
male,group C,associate's degree,standard,none,divorced,sometimes,yes,2,school_bus,< 5,58,58,54
male,group C,associate's degree,standard,none,married,sometimes,no,3,school_bus,05-Oct,82,76,75
female,group B,some high school,free/reduced,completed,married,never,yes,2,school_bus,< 5,39,56,61
female,group C,master's degree,standard,completed,widowed,sometimes,yes,2,private,05-Oct,65,80,84
male,group E,some high school,standard,completed,married,sometimes,yes,0,school_bus,05-Oct,95,79,83
female,group A,associate's degree,standard,none,married,never,yes,1,school_bus,05-Oct,54,68,64
male,group C,some high school,free/reduced,none,married,sometimes,yes,2,school_bus,05-Oct,52,48,41
male,group E,associate's degree,free/reduced,none,divorced,sometimes,no,1,school_bus,05-Oct,79,64,64
male,group D,some college,standard,none,married,sometimes,no,4,private,> 10,71,68,64
female,group C,bachelor's degree,standard,none,married,regularly,no,4,school_bus,05-Oct,58,63,68
female,group E,some college,standard,none,married,regularly,yes,4,school_bus,< 5,77,82,75
male,group D,some college,standard,completed,married,regularly,yes,3,private,05-Oct,84,69,79
male,group E,associate's degree,standard,completed,married,sometimes,yes,0,private,05-Oct,83,72,67
female,group A,bachelor's degree,standard,none,divorced,sometimes,yes,1,private,< 5,62,55,66
female,group A,associate's degree,standard,none,divorced,sometimes,no,3,private,05-Oct,72,70,72
female,group B,bachelor's degree,standard,none,married,sometimes,yes,4,school_bus,05-Oct,69,68,71
female,group D,high school,free/reduced,completed,divorced,sometimes,no,2,school_bus,05-Oct,62,78,77
female,group D,some high school,standard,none,single,sometimes,no,4,school_bus,05-Oct,68,78,73
male,group B,some college,standard,none,single,sometimes,yes,3,private,05-Oct,63,58,55
female,group C,some college,standard,completed,single,sometimes,no,3,private,05-Oct,88,89,96
female,group D,high school,free/reduced,completed,married,sometimes,no,2,school_bus,< 5,34,49,52
female,group C,associate's degree,free/reduced,none,single,sometimes,yes,3,school_bus,< 5,70,85,86
male,group A,master's degree,free/reduced,completed,married,sometimes,yes,4,private,05-Oct,50,63,61
male,group B,high school,free/reduced,none,single,regularly,yes,3,school_bus,05-Oct,66,66,61
male,group B,some high school,free/reduced,none,single,sometimes,yes,2,school_bus,05-Oct,50,52,49
female,group E,some high school,free/reduced,none,married,never,no,1,private,> 10,56,66,67
male,group E,some college,standard,none,divorced,regularly,yes,2,school_bus,05-Oct,86,69,68
male,group D,associate's degree,free/reduced,completed,married,sometimes,no,4,school_bus,> 10,66,62,67
male,group C,high school,free/reduced,none,married,sometimes,no,4,private,05-Oct,50,46,39
male,group C,some high school,standard,none,divorced,sometimes,yes,1,private,05-Oct,87,80,76
female,group B,some college,standard,none,married,regularly,no,3,private,< 5,79,90,91
male,group D,some high school,free/reduced,completed,divorced,sometimes,yes,1,school_bus,< 5,69,71,70
male,group B,some college,standard,none,divorced,sometimes,no,4,private,> 10,55,49,41
female,group C,high school,free/reduced,none,married,sometimes,yes,3,private,05-Oct,26,39,34
female,group D,associate's degree,standard,completed,married,sometimes,yes,3,private,> 10,78,84,85
male,group D,master's degree,free/reduced,none,married,sometimes,yes,2,school_bus,05-Oct,71,68,72
female,group B,high school,standard,completed,married,never,no,1,private,< 5,59,70,77
female,group C,bachelor's degree,standard,completed,single,sometimes,yes,2,school_bus,> 10,48,60,67
male,group B,high school,standard,none,divorced,sometimes,yes,4,private,05-Oct,77,63,59
male,group E,some college,standard,none,married,regularly,yes,2,school_bus,05-Oct,90,83,80
male,group C,master's degree,free/reduced,none,married,sometimes,yes,6,private,05-Oct,69,65,62
male,group C,high school,standard,completed,married,sometimes,no,2,school_bus,05-Oct,74,73,64
male,group B,some college,standard,none,married,regularly,yes,1,school_bus,05-Oct,70,68,67
male,group D,bachelor's degree,standard,completed,single,sometimes,yes,6,school_bus,< 5,70,64,69
female,group E,associate's degree,free/reduced,completed,widowed,never,no,1,school_bus,05-Oct,66,93,94
male,group E,some high school,standard,none,widowed,regularly,no,2,school_bus,< 5,97,88,83
male,group E,some high school,free/reduced,completed,married,regularly,yes,2,school_bus,> 10,43,48,43
female,group D,some high school,standard,none,married,sometimes,yes,0,private,05-Oct,63,70,73
female,group C,high school,standard,completed,married,sometimes,no,5,school_bus,> 10,48,54,52
female,group D,associate's degree,free/reduced,none,single,sometimes,yes,1,private,05-Oct,51,65,58
male,group B,high school,free/reduced,none,married,regularly,yes,2,school_bus,05-Oct,64,62,56
male,group D,high school,standard,none,single,regularly,yes,3,school_bus,< 5,71,63,67
male,group B,bachelor's degree,free/reduced,completed,single,regularly,yes,2,school_bus,< 5,74,76,73
female,group D,associate's degree,free/reduced,none,married,never,no,1,school_bus,05-Oct,27,36,38
male,group B,bachelor's degree,standard,none,married,never,yes,1,school_bus,> 10,61,60,55
female,group B,associate's degree,standard,none,married,regularly,yes,0,private,< 5,66,75,76
male,group D,some high school,standard,none,single,sometimes,no,4,school_bus,05-Oct,89,78,74
female,group D,some college,standard,none,married,sometimes,no,1,school_bus,05-Oct,81,93,93
male,group D,some college,standard,none,married,sometimes,yes,0,private,05-Oct,57,54,52
male,group C,high school,standard,none,married,regularly,yes,3,school_bus,< 5,72,73,73
male,group C,high school,standard,none,divorced,regularly,no,1,school_bus,05-Oct,63,62,58
female,group C,some college,standard,none,single,regularly,yes,2,private,05-Oct,54,69,60
female,group C,some college,standard,none,married,regularly,yes,1,school_bus,05-Oct,56,74,70
female,group B,associate's degree,free/reduced,none,married,regularly,yes,1,school_bus,05-Oct,37,53,51
female,group B,associate's degree,free/reduced,none,single,sometimes,no,1,private,05-Oct,61,61,65
male,group C,some college,standard,none,married,sometimes,yes,4,school_bus,05-Oct,63,67,52
female,group D,some college,standard,completed,single,regularly,yes,2,school_bus,05-Oct,96,100,100
female,group C,some high school,standard,completed,single,regularly,yes,2,private,05-Oct,59,65,74
female,group B,high school,standard,none,married,regularly,yes,0,school_bus,05-Oct,48,59,61
male,group B,some college,standard,none,single,regularly,yes,4,private,05-Oct,93,85,87
female,group C,associate's degree,free/reduced,none,divorced,regularly,yes,3,private,05-Oct,60,68,61
female,group A,bachelor's degree,free/reduced,completed,married,sometimes,no,3,private,05-Oct,58,70,68
female,group E,bachelor's degree,standard,none,widowed,never,no,2,school_bus,05-Oct,89,95,93
female,group A,associate's degree,free/reduced,completed,single,regularly,no,2,school_bus,05-Oct,62,75,75
female,group B,high school,standard,completed,married,never,yes,0,school_bus,< 5,65,74,74
female,group B,associate's degree,free/reduced,none,single,regularly,yes,2,school_bus,> 10,39,44,43
male,group C,master's degree,free/reduced,completed,married,sometimes,yes,1,private,05-Oct,55,62,57
female,group D,high school,free/reduced,none,married,sometimes,yes,2,school_bus,< 5,71,82,79
female,group B,high school,standard,none,married,sometimes,yes,1,school_bus,> 10,77,77,77
female,group E,bachelor's degree,free/reduced,none,married,sometimes,no,4,private,05-Oct,63,71,70
female,group E,associate's degree,free/reduced,none,single,sometimes,yes,2,private,05-Oct,57,61,56
male,group B,some college,free/reduced,none,married,sometimes,yes,1,private,> 10,29,36,30
male,group E,some high school,standard,none,married,sometimes,yes,3,school_bus,05-Oct,79,73,68
female,group D,high school,standard,none,married,sometimes,no,3,school_bus,05-Oct,50,54,53
male,group A,some high school,standard,none,married,regularly,yes,1,school_bus,05-Oct,69,61,55
female,group C,some college,standard,none,single,never,no,2,private,> 10,82,90,86
male,group A,some college,free/reduced,completed,single,regularly,yes,1,private,05-Oct,54,64,59
male,group E,associate's degree,free/reduced,none,divorced,never,no,4,school_bus,05-Oct,71,78,67
female,group C,associate's degree,standard,none,married,regularly,yes,2,school_bus,05-Oct,31,35,38
male,group B,high school,standard,completed,married,regularly,yes,2,school_bus,< 5,61,61,57
female,group C,associate's degree,standard,completed,single,sometimes,yes,1,school_bus,05-Oct,86,89,83
female,group B,associate's degree,free/reduced,none,married,sometimes,yes,4,school_bus,> 10,58,63,58
female,group E,master's degree,standard,none,married,regularly,no,1,school_bus,05-Oct,86,82,90
female,group B,some high school,standard,none,married,sometimes,yes,2,private,< 5,74,80,74
male,group B,high school,free/reduced,completed,married,never,yes,0,private,05-Oct,45,46,51
male,group D,high school,standard,none,married,never,no,3,school_bus,05-Oct,75,69,70
male,group B,bachelor's degree,standard,completed,single,never,yes,2,school_bus,< 5,55,66,63
female,group B,associate's degree,standard,none,married,sometimes,yes,4,school_bus,05-Oct,81,86,82
female,group E,associate's degree,free/reduced,none,married,sometimes,yes,3,school_bus,< 5,66,83,77
